Frame,Raw_X,Calib_X,Error_X,Raw_Y,Calib_Y,Error_Y,Raw_Z,Calib_Z,Error_Z,Euclidean_Error
0,0.5772090554237366,0.5775406956672668,-0.00033164024353027344,0.2698487341403961,0.26969704031944275,0.00015169382095336914,-0.3810432553291321,-0.4435323178768158,0.062489062547683716,0.06249012669498096
1,0.577795147895813,0.5778793692588806,-8.422136306762695e-05,0.2696618139743805,0.2695184648036957,0.00014334917068481445,-0.42607778310775757,-0.4484558701515198,0.022378087043762207,0.022378704653329043
2,0.5780676603317261,0.5780994892120361,-3.1828880310058594e-05,0.2695103585720062,0.26933753490448,0.00017282366752624512,-0.43145471811294556,-0.4391017556190491,0.007647037506103516,0.007649056393924213
3,0.5782055258750916,0.5783409476280212,-0.0001354217529296875,0.2693183720111847,0.26914945244789124,0.00016891956329345703,-0.4092048108577728,-0.44452613592147827,0.035321325063705444,0.03532198857830595
4,0.5783978700637817,0.5785094499588013,-0.00011157989501953125,0.26916739344596863,0.2691125273704529,5.486607551574707e-05,-0.4377817213535309,-0.4589087963104248,0.02112707495689392,0.02112744084344882
5,0.578551173210144,0.5785831809043884,-3.2007694244384766e-05,0.2691473662853241,0.2690907418727875,5.6624412536621094e-05,-0.4309414029121399,-0.45978373289108276,0.02884232997894287,0.028842403322726293
6,0.5785850882530212,0.57858806848526,-2.9802322387695312e-06,0.2692255675792694,0.2692159116268158,9.655952453613281e-06,-0.4527062177658081,-0.46353399753570557,0.010827779769897461,0.010827784485507768
7,0.5785914659500122,0.5785952210426331,-3.7550926208496094e-06,0.26928362250328064,0.2692831754684448,4.470348358154297e-07,-0.4403750002384186,-0.4586823880672455,0.018307387828826904,0.01830738821939493
8,0.5786932110786438,0.5787100195884705,-1.6808509826660156e-05,0.2693215310573578,0.26932209730148315,-5.662441253662109e-07,-0.4365394413471222,-0.44886326789855957,0.012323826551437378,0.012323838027033133
9,0.5787138938903809,0.5787188410758972,-4.947185516357422e-06,0.26933881640434265,0.2693168520927429,2.1964311599731445e-05,-0.42443251609802246,-0.44633716344833374,0.02190464735031128,0.021904658921040692
10,0.5787234902381897,0.5787283778190613,-4.887580871582031e-06,0.2693433463573456,0.2693290710449219,1.4275312423706055e-05,-0.4329650402069092,-0.4589930772781372,0.026028037071228027,0.026028041444838144
11,0.5787319540977478,0.5787352919578552,-3.337860107421875e-06,0.26935210824012756,0.269342303276062,9.804964065551758e-06,-0.4348798394203186,-0.45391902327537537,0.019039183855056763,0.019039186672368244
