frame,x,y,z
2,383.98079431056976,725.8168258070946,-1.3428294209916203e-07
3,388.0979187078774,726.9835759401321,-1.0600482625022778e-07
4,395.37040773034096,723.7347995042801,-1.226723185254741e-07
5,406.46931996941566,716.8001835346222,-2.3939369953041023e-07
8,409.3156387209892,719.7008844912052,-2.3924042125145206e-07
9,407.1274246573448,724.8114038109779,-1.7147412734175305e-07
10,404.2673399820924,725.6475909948349,-1.6190418250516814e-07
11,399.05689208209515,724.0827131271362,-1.3925807706982596e-07
12,396.07109033688903,723.4799023270607,-6.265173624342424e-08
13,393.43405044078827,722.2831407189369,-3.7488739224045275e-08
14,391.8167144693434,721.4782555699348,-3.701444839521173e-08
15,392.4314837679267,718.6083543598652,-4.337007197818821e-08
16,392.946988619864,715.0166538655758,-4.8710166566934276e-08
17,391.153636071831,717.4350568950176,-2.1120948545672036e-08
18,391.7623817175627,718.0594912469387,-2.877086835439968e-08
19,392.49052241817117,715.9349215328693,-2.9344951357757054e-08
20,394.3632853105664,714.6409494876862,-5.102509348375861e-08
21,394.3207850456238,715.833504319191,-9.887337881764324e-08
22,400.54561476409435,718.4240530729294,-2.557834122285385e-08
23,393.911841198802,715.5674079656601,2.1331972632765428e-08
24,395.3938858062029,716.21946144104,-1.839546115434132e-08
27,434.30154521763325,693.4475181102753,-2.862644237211498e-07
28,411.91137816011906,691.4137160181999,-1.0855963239464472e-07
33,441.98582914471626,644.6247258782387,2.3142013105825754e-07
38,538.8296262919903,752.4587409496307,-1.3695471068331244e-07
39,515.4454745650291,764.1985946893692,-1.9334774492563156e-07
40,472.7560119330883,765.1161733269691,-2.4446893576168804e-07
41,470.45271396636963,618.8658505678177,1.9390736838431621e-07
42,488.97430987656116,611.7440270781517,8.752197544481533e-08
43,497.1369401216507,613.0898578166962,3.007777706898196e-07
44,484.05012941360474,618.7730820477009,1.9916424776056374e-07
45,498.7404807507992,604.1426465511322,3.404295512154931e-07
46,478.3259770870209,606.3527259230614,2.1385515935889998e-07
47,466.7585392296314,598.6818844079971,1.631476322927483e-07
48,440.55177560448647,600.7677412927151,1.7233210769518337e-07
54,539.2672262191772,723.9705309867859,-1.0355039137266431e-07
55,414.5447685420513,692.2144629359245,1.83548252152832e-07
60,322.5230590309948,700.3481439948082,1.2934789594964968e-07
