frame,x,y,z
2,331.82605743408203,850.846809566021,3.219514042029914e-07
3,332.742164850235,853.2079795002937,3.0553744068129163e-07
4,331.44273978471756,849.9090123772621,3.009213855875714e-07
5,331.1434876918793,841.5195990204811,4.3786374703813635e-07
6,332.3636968135834,836.4693441390991,3.7480492665054044e-07
7,332.6874611377716,844.7266802489758,2.8535004048535484e-07
8,330.80169427394867,830.4697487354279,3.9463526491090306e-07
9,331.2229087948799,844.5863320827484,2.825484273216716e-07
10,329.04241371154785,843.035591840744,3.2628716439830896e-07
11,324.88491451740265,840.2569427490234,3.3579556202312233e-07
12,324.1447516679764,843.1593589782715,2.5426996330679685e-07
13,322.44740468263626,839.0902284681797,2.6927529006570694e-07
14,320.68796372413635,835.6895890831947,1.847782726827063e-07
15,320.7941401004791,839.9100430011749,8.554906827384912e-08
16,318.6785603761673,839.0726265907288,2.560541467744315e-08
17,318.009952545166,833.0599098801613,-5.3397922528120034e-08
18,321.22732949256897,823.1341735422611,4.633331496251003e-10
19,323.5756604075432,819.4408348798752,3.0775215265066436e-08
20,331.5647666454315,804.6939780712128,5.725515705989892e-08
21,338.39149284362793,798.1004251241684,7.232709720028652e-08
22,350.1246339082718,784.5175086557865,4.621486748845882e-09
23,363.4696612358093,775.3065049350262,3.9301198739849497e-08
24,382.5637302994728,764.8557111620903,-4.248521179306408e-08
39,448.4602720737457,815.2763136029243,-2.9354396247072145e-07
40,428.5275082588196,824.024203568697,-1.358379506655183e-07
42,342.1630585193634,787.695867061615,6.321320000779451e-08
43,316.82859897613525,811.8406779766083,-1.232836694953221e-07
44,311.182271361351,811.9995815753937,-8.684150287763259e-08
45,256.58747336268425,757.3210257291794,6.73071482992782e-08
46,226.38194525241852,714.9856152534485,9.528634770106237e-09
47,239.43820750713348,702.3949916362762,-1.1177315428767542e-07
49,250.8255319595337,689.85915350914,-1.2022931628052902e-07
52,380.08819234371185,684.5289823710918,-2.3232341561651992e-07
