frame,fps
0,12.24
1,2.46
2,3.39
3,4.24
4,4.95
5,5.59
6,6.15
7,6.55
8,6.95
9,7.05
10,7.14
11,13.67
12,13.89
13,13.91
14,13.96
15,13.91
16,13.99
17,14.33
18,14.47
19,15.88
20,16.0
21,16.09
22,15.97
23,15.97
24,16.06
25,15.59
26,15.6
27,15.72
28,15.65
29,15.7
30,15.56
31,15.58
32,14.79
33,14.11
34,14.02
35,14.42
36,14.37
37,14.42
38,14.17
39,14.14
40,14.17
41,14.21
42,14.96
43,15.5
44,15.42
45,15.37
46,15.24
47,15.23
48,15.68
49,15.55
50,15.26
51,14.94
52,14.96
53,14.52
54,14.58
55,14.6
56,14.62
57,14.51
58,14.46
59,14.61
60,14.98
61,15.22
62,15.38
63,16.16
64,16.32
65,16.45
66,16.58
67,16.74
68,12.77
69,10.78
70,9.27
71,9.27
72,8.08
73,7.24
74,6.51
75,5.91
76,5.44
77,5.05
78,5.16
79,5.16
80,5.16
81,4.8
82,4.83
83,4.81
84,4.83
85,4.84
86,4.83
87,4.82
88,4.82
89,4.82
90,4.83
91,4.8
92,4.76
93,4.73
94,4.72
95,4.72
96,4.72
97,4.72
98,4.71
99,4.69
100,4.69
101,4.7
102,4.73
103,4.67
104,4.58
105,4.58
106,4.58
107,4.44
108,4.45
109,4.4
110,4.26
111,4.18
112,4.12
113,4.13
114,4.15
115,4.1
116,4.14
117,4.2
118,4.14
119,4.14
120,4.12
121,4.09
122,4.1
123,4.08
124,3.94
125,3.91
126,3.81
127,3.75
128,3.75
129,3.68
130,3.68
131,3.62
132,3.57
133,3.53
134,3.57
135,3.53
136,3.54
137,3.47
138,3.47
139,3.47
140,3.47
141,3.53
142,3.52
143,3.53
144,3.59
145,3.65
146,3.63
147,3.74
148,3.75
149,3.8
150,3.82
151,3.87
152,3.92
153,3.97
154,3.97
155,3.96
156,3.96
157,3.97
158,3.94
159,3.94
160,3.99
161,3.99
162,4.0
163,4.02
164,4.01
165,4.02
166,3.94
167,3.94
168,3.92
169,3.86
170,3.78
171,3.73
172,3.68
173,3.62
174,3.59
175,3.55
176,3.59
177,3.54
178,3.54
179,3.55
180,3.59
181,3.64
182,3.68
183,3.68
184,3.71
185,3.75
186,3.8
187,3.83
188,3.87
189,3.9
190,3.91
191,3.93
192,3.92
193,4.04
194,4.09
195,4.14
196,4.18
197,4.24
198,4.31
199,4.38
200,4.44
201,4.48
202,4.53
203,4.53
204,4.53
205,4.52
206,4.51
207,4.53
208,4.51
209,4.5
210,4.49
211,4.49
212,4.49
213,4.48
214,4.49
215,4.5
216,4.5
217,4.48
218,4.49
219,4.49
220,4.47
221,4.47
222,4.47
223,4.47
224,4.45
225,4.44
226,4.44
227,4.44
228,4.44
229,4.42
230,4.44
231,4.42
232,4.42
233,4.42
234,4.41
235,4.42
236,4.41
237,4.42
238,4.43
239,4.43
240,4.44
241,4.44
242,4.42
243,4.39
244,4.38
245,4.31
246,4.3
247,4.23
248,4.15
